1,7,433.416,113.267,68.439,44.866
1,6,157.855,91.379,14.778,9.198
1,5,23.383,163.700,50.808,36.133
1,4,244.684,106.307,31.936,23.813
1,3,335.393,110.608,33.228,19.912
1,2,294.080,110.114,35.546,20.436
1,1,384.305,127.757,77.438,37.049
2,8,437.829,115.612,61.987,42.898
2,7,431.164,111.929,70.323,44.561
2,6,157.783,91.336,14.889,9.255
2,5,23.386,163.718,50.802,36.122
2,4,244.624,106.265,31.922,23.790
2,3,335.395,110.514,33.251,19.905
2,2,295.897,109.967,33.350,20.315
2,1,382.406,127.331,78.041,36.231
3,8,435.159,113.914,65.236,43.284
3,7,429.213,111.626,70.916,44.344
3,6,157.683,91.202,15.104,9.384
3,5,23.308,163.604,50.954,36.295
3,4,244.157,106.021,32.256,24.002
3,3,335.406,110.584,33.182,19.777
3,2,296.258,109.675,32.639,20.465
3,1,378.305,126.789,76.942,36.133
4,7,426.474,111.086,70.806,43.705
4,6,157.691,91.192,15.112,9.392
4,5,23.317,163.639,50.963,36.268
4,4,244.159,105.837,32.372,24.171
4,3,335.393,110.532,33.216,19.751
4,2,294.798,109.107,33.633,20.984
4,1,377.525,126.367,76.237,36.301
5,8,433.692,113.577,64.540,42.673
5,6,157.750,91.203,15.059,9.360
5,5,23.368,163.722,50.878,36.137
5,4,244.358,105.707,32.328,24.312
5,3,335.441,110.566,33.210,19.683
5,2,293.716,108.592,33.331,21.229
5,1,377.251,126.665,74.865,35.770
6,8,434.160,114.195,63.463,42.309
6,6,157.817,91.218,14.995,9.331
6,5,23.339,163.646,50.931,36.241
6,4,244.569,105.472,32.300,24.552
6,3,335.430,110.556,33.204,19.647
6,2,293.567,108.162,33.215,21.559
6,1,377.217,127.605,72.021,34.863
7,8,434.509,114.789,62.494,42.665
7,6,157.815,91.193,15.009,9.342
7,5,23.279,163.477,51.039,36.475
7,4,244.503,105.311,32.314,24.724
7,3,335.427,110.579,33.238,19.633
7,2,293.863,108.141,33.676,21.775
7,1,374.938,127.810,71.686,34.543
8,8,432.588,114.452,61.634,42.073
8,7,428.790,113.258,63.763,41.464
8,6,157.785,91.198,14.992,9.340
8,5,23.275,163.417,51.069,36.582
8,4,244.610,105.189,32.258,24.836
8,3,335.501,110.576,33.254,19.674
8,2,292.399,107.940,32.944,21.940
8,1,372.225,126.325,70.357,34.385
9,8,431.870,114.307,60.689,41.837
9,7,428.824,113.213,62.936,41.815
9,6,157.775,91.209,15.009,9.328
9,5,23.282,163.397,51.066,36.618
9,4,244.743,105.267,32.083,24.822
9,3,335.562,110.576,33.204,19.699
9,2,291.951,107.676,32.490,22.218
9,1,370.503,125.551,69.966,34.565
10,7,428.485,113.690,62.056,41.335
10,6,157.743,91.225,15.031,9.293
10,5,23.297,163.388,51.062,36.615
10,4,244.606,105.363,32.017,24.764
10,3,335.574,110.651,33.190,19.721
10,2,291.896,107.580,32.187,22.429
10,1,368.786,125.019,69.981,34.777
11,7,428.420,113.998,61.379,41.013
11,6,157.751,91.267,15.033,9.251
11,5,23.307,163.360,51.069,36.644
11,4,244.566,105.380,31.940,24.725
11,3,335.633,110.631,33.164,19.810
11,2,291.877,107.581,31.808,22.520
11,1,368.835,125.269,68.205,34.028
12,7,428.491,114.088,60.924,40.958
12,6,157.701,91.316,15.038,9.219
12,5,23.337,163.443,51.009,36.540
12,4,244.463,105.340,31.929,24.735
12,3,335.630,110.618,33.066,19.879
12,2,291.675,107.585,31.523,22.545
12,1,369.367,125.308,66.150,33.578
13,7,426.697,114.762,61.740,40.752
13,6,157.717,91.302,15.004,9.191
13,5,23.364,163.517,50.940,36.433
13,4,244.352,105.294,31.945,24.752
13,3,335.674,110.585,32.964,19.915
13,2,291.686,107.841,31.295,22.386
13,1,370.310,125.835,63.068,32.516
14,6,157.689,91.252,15.007,9.205
14,5,23.356,163.533,50.919,36.394
14,4,244.189,105.277,32.001,24.756
14,3,335.725,110.561,32.846,19.925
14,2,291.779,108.149,31.030,22.067
14,1,367.001,125.951,62.528,31.765
15,9,194.733,87.537,37.689,17.256
15,6,157.674,91.194,14.977,9.229
15,5,23.337,163.508,50.929,36.432
15,4,244.166,105.249,32.043,24.775
15,3,335.734,110.468,32.662,19.994
15,2,291.481,108.290,30.793,21.794
15,1,364.390,125.492,60.815,31.208
16,10,415.673,113.831,65.552,40.257
16,9,190.550,86.990,41.643,18.798
16,6,157.578,91.134,15.025,9.347
16,5,23.340,163.584,50.924,36.323
16,4,244.303,105.304,31.999,24.754
16,3,335.743,110.366,32.459,20.091
16,2,291.078,108.119,30.800,21.804
16,1,362.784,125.000,60.372,31.193
17,10,411.999,113.341,67.184,40.481
17,9,186.423,85.452,43.866,19.903
17,6,157.652,91.247,14.947,9.373
17,5,23.343,163.582,50.924,36.302
17,4,244.401,105.324,31.952,24.741
17,3,335.701,110.291,32.310,20.181
17,2,290.805,108.283,30.795,21.509
17,1,361.278,124.811,61.277,31.431
18,10,409.992,112.856,68.597,41.135
18,9,183.670,84.612,44.442,20.698
18,6,157.772,91.261,14.903,9.411
18,5,23.353,163.625,50.909,36.240
18,4,244.530,105.392,31.857,24.696
18,3,335.823,110.268,32.235,20.255
18,2,290.690,108.417,30.645,21.271
18,1,360.667,124.888,61.345,31.475
19,9,182.457,84.313,44.081,21.235
19,6,157.821,91.305,14.925,9.494
19,5,23.355,163.621,50.918,36.234
19,4,244.630,105.436,31.754,24.671
19,3,336.001,110.305,32.242,20.282
19,2,290.736,108.600,30.426,21.113
19,1,360.614,124.415,61.013,31.724
